"","Event.Name","Start.Date.Time","End.Date.Time","Event.Type","Event.Borough","Event.Location"
"7953","Lawn Closure of Redbud Lawn","02/26/2022 12:01:00 AM","02/26/2022 12:00:00 PM","Special Event","Manhattan","Madison Square Park: Redbud Lawn"
"7954","Pilgrim Hill Winter Closure Nov. 29, 2021 - May 7, 2022","02/22/2022 12:00:00 AM","02/22/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Pilgrim Hill"
"7955","Outdoor learning-12X458-DOE","02/22/2022 10:00:00 AM","02/22/2022 02:00:00 PM","Special Event","Bronx","Rock Garden Park: Rock Garden Park"
"7956","Soccer - Non Regulation","02/17/2022 05:00:00 PM","02/17/2022 09:00:00 PM","Sport - Youth","Queens","College Point Fields: Soccer-01"
"7957","Fido Coffee Bark raindate","08/13/2022 07:00:00 AM","08/13/2022 09:00:00 AM","Special Event","Brooklyn","Prospect Park: Picnic House South"
"7958","Meet the Native Plants Demonstration Gardens","02/27/2022 12:00:00 AM","02/27/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Southern Fountain Circle Plaza"
"7959","Softball (Little league)","02/19/2022 08:00:00 AM","02/19/2022 06:00:00 PM","Sport - Youth","Queens","Frank Principe Park / Maurice Park: Softball-01"
"7960","Spring Half MARATHON","04/16/2022 08:00:00 AM","04/16/2022 09:00:00 AM","Special Event","Queens","Rockaway Beach and Boardwalk: Beach 116th Street Island"
"7961","Soccer - Non Regulation","02/24/2022 03:30:00 AM","02/24/2022 05:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Soccer-10"
"7962","Soccer - Non Regulation","02/20/2022 10:00:00 AM","02/20/2022 03:00:00 PM","Sport - Youth","Queens","Murray Playground: Soccer-01"
"7963","Diana Ross Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","02/21/2022 12:00:00 AM","02/21/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Diana Ross Playground Lawn"
"7964","Soccer - Non Regulation","02/19/2022 03:00:00 PM","02/19/2022 05:00:00 PM","Sport - Youth","Manhattan","Marx Brothers Playground: Soccer-01"
"7965","2nd  3rd Grade Outdoor Learning","02/16/2022 12:00:00 PM","02/16/2022 02:00:00 PM","Special Event","Bronx","Hunts PointPlayground: Hunts Point Playground"
"7966","memorial barbecue","07/30/2022 12:00:00 PM","07/30/2022 07:00:00 PM","Special Event","Brooklyn","Prospect Park: Picnic House North"
"7967","AfterCare Recess","02/16/2022 03:00:00 PM","02/16/2022 05:00:00 PM","Special Event","Staten Island","Naples Playground: Basketball-02 ,Naples Playground: Basketball-01 ,Naples Playground: Softball-01"
"7968","Softball (Little league)","02/28/2022 03:30:00 PM","02/28/2022 06:00:00 PM","Sport - Youth","Brooklyn","Van Voorhees Playground: Softball-01"
"7969","Soccer - Non Regulation","02/17/2022 09:00:00 AM","02/17/2022 10:00:00 PM","Sport - Adult","Queens","Astoria Park: Soccer-01"
"7970","Soccer - Non Regulation","02/22/2022 06:00:00 PM","02/22/2022 08:00:00 PM","Sport - Youth","Brooklyn","Sternberg Park (Lindsey Park): Football-01"
"7971","Picnic House","04/17/2022 12:00:00 PM","04/17/2022 05:00:00 PM","Special Event","Brooklyn","Prospect Park: Picnic House South ,Prospect Park: Picnic House"
"7972","Soccer - Non Regulation","02/23/2022 07:00:00 PM","02/23/2022 10:00:00 PM","Sport - Adult","Queens","College Point Fields: Soccer-01"
"7973","Outdoor Learning-PS 152-DOE","02/17/2022 08:00:00 AM","02/17/2022 03:00:00 PM","Special Event","Bronx","Colgate Close: Colgate Close"
"7974","Hockey","02/26/2022 08:30:00 PM","02/26/2022 09:30:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Soccer-01"
"7975","Soccer -Regulation","02/27/2022 09:00:00 AM","02/27/2022 06:00:00 PM","Sport - Youth","Manhattan","De Witt Clinton Park: Soccer-01"
"7976","Soccer -Regulation","02/23/2022 09:00:00 AM","02/23/2022 07:00:00 PM","Sport - Youth","Brooklyn","McCarren Park: Soccer-01"
"7977","Radio Control Airplanes SUAV Model Aviation","02/18/2022 08:00:00 AM","02/18/2022 05:00:00 PM","Special Event","Bronx","Ferry Point Park: Ferry Point Park"
"7978","Soccer - Non Regulation","02/19/2022 09:00:00 AM","02/19/2022 11:00:00 PM","Sport - Adult","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Sunken Garden Fields-Soccer-91"
"7979","Party","07/10/2022 02:00:00 PM","07/10/2022 07:00:00 PM","Special Event","Queens","Flushing Meadows Corona Park: Meadow Lake East Triassic Playground - BBQ area Yellow"
"7980","Miscellaneous","07/16/2022 12:00:00 PM","07/16/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Mineral Springs"
"7981","Football Ã¢â¬â Flag Football","02/27/2022 09:00:00 AM","02/27/2022 06:00:00 PM","Sport - Youth","Brooklyn","Sternberg Park (Lindsey Park): Football-01"
"7982","Celebration","05/04/2022 02:30:00 PM","05/04/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"7983","Hannah Senesh Community Day School Outdoor Lunch","02/17/2022 11:30:00 AM","02/17/2022 01:00:00 PM","Special Event","Brooklyn","Carroll Park: Central Plaza"
"7984","Football - Youth","02/21/2022 09:00:00 AM","02/21/2022 09:00:00 PM","Sport - Youth","Brooklyn","St. John's Park: Buddy Keaton-Soccer-01"
"7985","Outdoor Learning - PS 184 Flushing Manor","02/15/2022 07:00:00 AM","02/15/2022 03:00:00 PM","Special Event","Queens","Playground Twenty One: Playground Twenty One"
"7986","Soccer - Non Regulation","02/26/2022 09:00:00 AM","02/26/2022 10:00:00 AM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01"
"7987","Soccer - Non Regulation","02/27/2022 07:00:00 AM","02/27/2022 09:30:00 AM","Sport - Adult","Queens","College Point Fields: Soccer-01"
"7988","Soccer - Non Regulation","02/17/2022 06:00:00 PM","02/17/2022 08:00:00 PM","Sport - Youth","Brooklyn","McCarren Park: Soccer-01"
"7989","Soccer - Non Regulation","02/20/2022 09:00:00 AM","02/20/2022 10:00:00 AM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01"
"7990","Soccer - Non Regulation","02/26/2022 08:00:00 AM","02/26/2022 12:00:00 PM","Sport - Youth","Brooklyn","Bush Terminal Park: Soccer-02"
"7991","Soccer - Non Regulation","02/25/2022 03:00:00 PM","02/25/2022 07:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Soccer-11"
"7992","Soccer -Regulation","02/17/2022 05:00:00 PM","02/17/2022 08:00:00 PM","Sport - Youth","Queens","Astoria Park: Soccer-01"
"7993","Uni-verse at the Unisphere","10/09/2022 12:00:00 PM","10/09/2022 03:00:00 PM","Special Event","Queens","Flushing Meadows Corona Park: Around the Unisphere"
"7994","Model Helicopter Flying","02/22/2022 08:00:00 AM","02/22/2022 07:00:00 PM","Special Event","Brooklyn","Calvert Vaux Park: Hobby Field"
"7995","Crown Heights Farm Stand","02/18/2022 08:00:00 AM","02/18/2022 05:00:00 PM","Farmers Market","Brooklyn","NOSTRAND AVENUE between EMPIRE BOULEVARD and MONTGOMERY STREET"
"7996","Soccer -Regulation","02/24/2022 04:30:00 PM","02/24/2022 07:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Soccer-10 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: East River Fields-Soccer-83"
"7997","Soccer -Regulation","02/24/2022 09:30:00 AM","02/24/2022 09:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: Wards Meadow Fields-Soccer-70"
"7998","Football - Adults","02/17/2022 08:30:00 AM","02/17/2022 10:00:00 PM","Sport - Adult","Staten Island","Gen. Douglas MacArthur Park: Multi-Use Field-01"
"7999","Soccer - Non Regulation","02/24/2022 08:00:00 PM","02/24/2022 10:00:00 PM","Sport - Adult","Brooklyn","Sternberg Park (Lindsey Park): Football-01"
"8000","Soccer - Non Regulation","02/28/2022 05:00:00 PM","02/28/2022 07:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-70"
"8001","Soccer - Non Regulation","02/24/2022 10:00:00 AM","02/24/2022 06:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75"
"8002","Soccer - Non Regulation","02/20/2022 12:00:00 PM","02/20/2022 05:00:00 PM","Sport - Youth","Brooklyn","Bill Brown Playground: Soccer-01"
"8003","Soccer -Regulation","02/24/2022 08:00:00 AM","02/24/2022 08:00:00 PM","Sport - Youth","Queens","St. Michael's Playground: Soccer-01"
"8004","Soccer - Non Regulation","02/15/2022 09:00:00 AM","02/15/2022 07:00:00 PM","Sport - Youth","Queens","Joseph Austin Playground: Soccer-01"
"8005","Big Apple Circus","02/27/2022 12:00:00 AM","02/27/2022 11:59:00 PM","Special Event","Manhattan","Damrosch Park: Damrosch Park ,Damrosch Park: Bandshell ,Damrosch Park: Tent Area ,Damrosch Park: Sidewalks"
"8006","Soccer -Regulation","02/27/2022 08:30:00 AM","02/27/2022 10:00:00 AM","Sport - Adult","Staten Island","Blood Root Valley: Greenbelt Recreation Center-Soccer-01"
"8007","Soccer - Non Regulation","02/21/2022 03:00:00 PM","02/21/2022 05:30:00 PM","Sport - Youth","Manhattan","Eugene McCabe Field: Soccer-01"
"8008","Football - Youth","02/24/2022 10:00:00 AM","02/24/2022 07:30:00 PM","Sport - Youth","Brooklyn","Betsy Head Park: Football-02"
"8009","FEBRUARY 2022 ADOPTION DRIVE--EVERY SATURDAY IN FEBRUARY","02/26/2022 10:00:00 AM","02/26/2022 06:00:00 PM","Special Event","Manhattan","Union Square Park: Southwest Corner"
"8010","Soccer - Non Regulation","02/18/2022 03:00:00 PM","02/18/2022 04:30:00 PM","Sport - Adult","Manhattan","Booker T. Washington Playground: Soccer-01"
"8011","NPS.OutdoorLearningschools.nyc.gov","02/17/2022 08:00:00 AM","02/17/2022 03:00:00 PM","Special Event","Queens","Travers Park: Performance Area"
"8012","Soccer -Regulation","02/23/2022 06:00:00 PM","02/23/2022 07:00:00 PM","Sport - Adult","Manhattan","James J Walker Park: Soccer-01"
"8013","NYRR Open Run Astoria Park","02/19/2022 09:00:00 AM","02/19/2022 10:00:00 AM","Special Event","Queens","Astoria Park: Great Lawn 02 Ditmars Blvd"
"8014","Dairy Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","02/22/2022 12:00:00 AM","02/22/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Dairy Lawn"
"8015","Celebration","03/05/2022 09:00:00 AM","03/05/2022 11:00:00 AM","Special Event","Manhattan","Central Park: Mineral Springs"
"8016","Soccer - Non Regulation","02/24/2022 01:00:00 PM","02/24/2022 09:00:00 PM","Sport - Youth","Staten Island","Bloomingdale Park: Youth Soccer-01 ,Freshkills Park: Owl Hollow-Soccer-3"
"8017","East Harlem Health Action center Food Box","02/17/2022 01:30:00 PM","02/17/2022 06:30:00 PM","Farmers Market","Manhattan","EAST  115 STREET between 3 AVENUE and LEXINGTON AVENUE"
"8018","Soccer - Non Regulation","02/20/2022 08:00:00 AM","02/20/2022 05:00:00 PM","Sport - Youth","Brooklyn","Bill Brown Playground: Soccer-01"
"8019","Soccer - Non Regulation","02/18/2022 10:00:00 AM","02/18/2022 06:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75"
"8020","Safe Summer Youths Day 2022","06/25/2022 11:00:00 AM","06/25/2022 04:00:00 PM","Special Event","Brooklyn","St. John's Park: Rear Plaza"
"8021","Mobile COVID-19 Test Site","02/19/2022 08:00:00 AM","02/19/2022 07:00:00 PM","Special Event","Staten Island","Bloomingdale Park: Playground"
"8022","NYC Surfing Surf School","02/22/2022 08:00:00 AM","02/22/2022 03:00:00 PM","Special Event","Queens","Rockaway Beach and Boardwalk: Beach 67th Street Surfing Beach"
"8023","Soccer - Non Regulation","02/25/2022 04:00:00 PM","02/25/2022 08:00:00 PM","Sport - Youth","Queens","Forest Park: Soccer-01"
"8024","Outdoor Learning-PS 152-DOE","02/28/2022 08:00:00 AM","02/28/2022 03:00:00 PM","Special Event","Bronx","Colgate Close: Colgate Close"
"8025","Soccer - Non Regulation","02/25/2022 03:30:00 PM","02/25/2022 05:30:00 PM","Sport - Youth","Manhattan","Eugene McCabe Field: Soccer-01"
"8026","NYC DOE Outdoor Learning- District 20 PreK Center","02/14/2022 09:00:00 AM","02/14/2022 12:00:00 PM","Special Event","Brooklyn","Mckinley Park: Lawn Area West"
"8027","Football - Youth","02/17/2022 09:00:00 AM","02/17/2022 09:00:00 PM","Sport - Youth","Brooklyn","St. John's Park: Buddy Keaton-Soccer-01"
"8028","Soccer - Non Regulation","02/14/2022 06:00:00 PM","02/14/2022 10:30:00 PM","Sport - Adult","Manhattan","James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01"
"8029","Soccer - Non Regulation","02/20/2022 08:00:00 AM","02/20/2022 10:00:00 AM","Sport - Adult","Queens","Flushing Meadows Corona Park: Soccer-02"
"8030","Lawn Closure of Magnolia Lawn","02/26/2022 12:00:00 AM","02/26/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Magnolia Lawn"
"8031","Miscellaneous","05/19/2022 10:00:00 AM","05/19/2022 01:00:00 PM","Special Event","Brooklyn","Shore Road Park and Parkway: 79th St Fields-Softball-01 ,Shore Road Park and Parkway: 79th St Fields-Softball-02 ,Shore Road Park: 79th St Lawn"
"8032","Football - Youth","02/26/2022 09:00:00 AM","02/26/2022 01:00:00 PM","Sport - Youth","Queens","Brookville Park: Football-01 ,Baisley Pond Park: Football-01"
"8033","Volleyball","02/26/2022 10:00:00 AM","02/26/2022 06:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Volleyball-12"
"8034","Soccer -Regulation","02/14/2022 02:00:00 PM","02/14/2022 06:30:00 PM","Sport - Youth","Staten Island","Bloomingdale Park: Soccer-01"
"8035","Soccer -Regulation","02/26/2022 10:00:00 AM","02/26/2022 09:30:00 PM","Sport - Adult","Bronx","Macombs Dam Park: Soccer-01"
"8036","Soccer -Regulation","02/28/2022 05:00:00 PM","02/28/2022 08:00:00 PM","Sport - Youth","Queens","Astoria Park: Soccer-01"
"8037","Hockey","02/19/2022 09:00:00 AM","02/19/2022 09:30:00 PM","Sport - Youth","Queens","College Point Fields: Hockey-01"
"8038","Soccer - Non Regulation","02/16/2022 06:00:00 PM","02/16/2022 08:00:00 PM","Sport - Youth","Brooklyn","Sternberg Park (Lindsey Park): Football-01"
"8039","Outdoor Learning Initiative South Bronx Charter School ICA- 84x309","02/23/2022 08:00:00 AM","02/23/2022 03:00:00 PM","Special Event","Bronx","Playground One Thirty Four CXXXIV: Playground One Thirty Four CXXXIV"
"8040","Hockey","02/18/2022 09:00:00 AM","02/18/2022 09:30:00 PM","Sport - Youth","Queens","College Point Fields: Hockey-01"
"8041","Celebration","02/26/2022 11:00:00 AM","02/26/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"8042","Soccer - Non Regulation","02/25/2022 06:00:00 PM","02/25/2022 11:00:00 PM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01"
"8043","Soccer - Non Regulation","02/27/2022 08:00:00 PM","02/27/2022 11:00:00 PM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01"
"8044","Soccer - Non Regulation","02/20/2022 09:30:00 AM","02/20/2022 11:30:00 AM","Sport - Youth","Manhattan","Robert Moses Playground: Soccer-01"
"8045","Miscellaneous","02/16/2022 10:00:00 AM","02/16/2022 06:00:00 PM","Sport - Youth","Bronx","Williamsbridge Oval: Soccer-01"
"8046","Mobile COVID-19 Test Site","02/24/2022 08:00:00 AM","02/24/2022 07:00:00 PM","Special Event","Staten Island","Lieutenant John H. Martinson Playground: Lieutenant John H. Martinson Playground"
"8047","Football - Adults","02/27/2022 03:00:00 PM","02/27/2022 05:00:00 PM","Sport - Adult","Brooklyn","Parade Ground: Football-09"
"8048","Soccer - Non Regulation","02/16/2022 05:00:00 PM","02/16/2022 07:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-70"
"8049","Fido Coffee Bark raindate","04/09/2022 07:00:00 AM","04/09/2022 09:00:00 AM","Special Event","Brooklyn","Prospect Park: Picnic House South"
"8050","Soccer -Regulation","02/20/2022 09:00:00 AM","02/20/2022 07:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: East River Fields-Soccer-83"
"8051","Soccer -Regulation","02/26/2022 10:00:00 AM","02/26/2022 02:00:00 PM","Sport - Youth","Queens","Flushing Meadows Corona Park: Soccer-02"
"8052","Outdoor Learning - University Neighborhood High School 01M448 - DOE","02/16/2022 08:00:00 AM","02/16/2022 03:00:00 PM","Special Event","Manhattan","Lillian D Wald Playground: Lillian D Wald Playground"
"8053","Soccer -Regulation","02/17/2022 06:00:00 PM","02/17/2022 07:30:00 PM","Sport - Youth","Staten Island","Freshkills Park: Owl Hollow-Soccer-4"
"8054","Soccer - Non Regulation","02/19/2022 09:00:00 AM","02/19/2022 01:00:00 PM","Sport - Youth","Brooklyn","Park Slope Playground (PS 282): Multi Purpose Turf - 8 years and younger only"
"8055","Basketball","02/18/2022 09:00:00 AM","02/18/2022 05:00:00 PM","Sport - Youth","Brooklyn","JHS 51 JOP: Basketball-01 ,JHS 51 JOP: Basketball-02 ,JHS 51 JOP: Basketball-03"
"8056","Soccer -Regulation","02/27/2022 08:00:00 AM","02/27/2022 10:00:00 PM","Sport - Adult","Manhattan","Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: Wards Meadow Fields-Soccer-73"
"8057","Miscellaneous","05/17/2022 10:00:00 AM","05/17/2022 02:00:00 PM","Special Event","Brooklyn","Canarsie Park: Baseball-01 ,Canarsie Park: Softball-02 ,Canarsie Park: Softball-03"
"8058","Soccer - Non Regulation","02/18/2022 09:00:00 AM","02/18/2022 10:00:00 PM","Sport - Adult","Queens","Astoria Park: Soccer-01"
"8059","NYRR Open Run Highland Park","02/19/2022 09:00:00 AM","02/19/2022 10:00:00 AM","Special Event","Queens","Highland Park: Warwick Lawn"
"8060","Pilgrim Hill Winter Closure Nov. 29, 2021 - May 7, 2022","02/19/2022 12:00:00 AM","02/19/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Pilgrim Hill"
"8061","Covid -19 testing for the public","02/15/2022 07:00:00 AM","02/15/2022 07:00:00 PM","Special Event","Staten Island","Naples Playground: Basketball-01"
"8062","Covid 19 testing site","02/16/2022 07:00:00 AM","02/16/2022 07:00:00 PM","Special Event","Brooklyn","Maria Hernandez Park: Perimeter Sidewalk Irving"
"8063","Miscellaneous","02/21/2022 10:00:00 AM","02/21/2022 03:00:00 PM","Sport - Youth","Manhattan","Vesuvio Playground: Handball-03"
"8064","Softball (Little league)","02/16/2022 03:00:00 PM","02/16/2022 05:00:00 PM","Sport - Youth","Bronx","Patterson Playground: Softball-01"
"8065","Miscellaneous","06/06/2022 08:00:00 AM","06/06/2022 01:00:00 PM","Special Event","Queens","Francis Lewis Park: Francis Lewis Park"
"8066","Turtle Pond Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","02/28/2022 12:00:00 AM","02/28/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Turtle Pond Lawn"
"8067","OUTDOOR LEARNING PERMIT","02/14/2022 09:00:00 AM","02/14/2022 01:00:00 PM","Special Event","Manhattan","Riverside Park: Crab Apple Grove-RSP"
"8068","Soccer -Regulation","02/17/2022 09:30:00 AM","02/17/2022 09:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: Wards Meadow Fields-Soccer-70"
"8069","Soccer - Non Regulation","02/14/2022 06:00:00 AM","02/14/2022 11:00:00 PM","Sport - Adult","Queens","Juniper Valley Park: Football-01 ,Juniper Valley Park: Track-01"
"8070","Outdoor Learning - LLS","02/18/2022 08:30:00 AM","02/18/2022 02:30:00 PM","Special Event","Brooklyn","Fort Greene Park: Mrytle and Washington Park Entrance"
"8071","Lawn Closure of Magnolia Lawn","02/18/2022 12:00:00 AM","02/18/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Magnolia Lawn"
"8072","Mobile COVID-19 Test Site","02/18/2022 08:00:00 AM","02/18/2022 07:00:00 PM","Special Event","Staten Island","Lieutenant John H. Martinson Playground: Lieutenant John H. Martinson Playground"
"8073","Soccer - Non Regulation","02/18/2022 02:00:00 PM","02/18/2022 08:00:00 PM","Sport - Youth","Brooklyn","Leif Ericson Park: Dust Bowl-Football-01"
"8074","Hockey","02/18/2022 09:00:00 AM","02/18/2022 10:00:00 PM","Sport - Youth","Brooklyn","Rappaport Playground: Hockey-01"
"8075","Football - Youth","02/25/2022 09:00:00 AM","02/25/2022 08:00:00 PM","Sport - Youth","Bronx","Macombs Dam Park: Soccer-01 ,Soundview Park: Soccer-01"
"8076","Covid 19 testing site","02/19/2022 12:00:00 AM","02/19/2022 07:00:00 PM","Special Event","Staten Island","Tappen Park: Tappen Park - Whole Park"
"8077","Football Ã¢â¬â Flag Football","02/21/2022 08:00:00 PM","02/21/2022 10:00:00 PM","Sport - Adult","Staten Island","Gen. Douglas MacArthur Park: Multi-Use Field-01"
"8078","Soccer - Non Regulation","02/26/2022 11:00:00 AM","02/26/2022 01:00:00 PM","Sport - Adult","Brooklyn","Ericsson Playground (JHS 126): Multi Purpose Play Area-01"
"8079","Lawn Closure of Oval lawn","02/16/2022 12:00:00 AM","02/16/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Oval Lawn"
"8080","Model Aircraft Flying Field","02/23/2022 08:00:00 AM","02/23/2022 08:00:00 PM","Special Event","Staten Island","LaTourette Park & Golf Course: Model Airplane Field"
"8081","Soccer - Non Regulation","02/17/2022 08:00:00 AM","02/17/2022 07:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Soccer-10 ,Randall's Island Park: Sunken Garden Fields-Soccer-91"
"8082","Model Aircraft Flying Field","02/28/2022 08:00:00 AM","02/28/2022 08:00:00 PM","Special Event","Staten Island","LaTourette Park & Golf Course: Model Airplane Field"
"8083","Soccer - Non Regulation","02/24/2022 10:00:00 AM","02/24/2022 06:00:00 PM","Sport - Youth","Queens","Astoria Park: Soccer-01"
"8084","Soccer - Non Regulation","02/24/2022 05:00:00 PM","02/24/2022 07:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-70"
"8085","Soccer - Non Regulation","02/23/2022 03:30:00 PM","02/23/2022 06:00:00 PM","Sport - Youth","Manhattan","James J Walker Park: Soccer-01"
"8086","Soccer - Non Regulation","02/26/2022 02:00:00 PM","02/26/2022 08:00:00 PM","Sport - Youth","Brooklyn","Calvert Vaux Park: Soccer-01"
"8087","Model Aircraft Flying Field","02/17/2022 08:00:00 AM","02/17/2022 08:00:00 PM","Special Event","Staten Island","LaTourette Park & Golf Course: Model Airplane Field"
"8088","Outdoor Learning- PS 39K- DOE","02/16/2022 09:00:00 AM","02/16/2022 02:00:00 PM","Special Event","Brooklyn","Prospect Park: Bandshell South"
"8089","Football - Youth","02/15/2022 03:30:00 PM","02/15/2022 05:00:00 PM","Sport - Youth","Manhattan","Marx Brothers Playground: Soccer-01"
"8090","Soccer -Regulation","02/23/2022 03:30:00 PM","02/23/2022 05:30:00 PM","Sport - Youth","Manhattan","Riverside Park: 107th/108th St-Soccer-01 E ,Marx Brothers Playground: Soccer-01"
"8091","Covid 19 testing and Vaccine for the public","02/24/2022 07:00:00 AM","02/24/2022 07:00:00 PM","Special Event","Queens","The Painter's Playground: The Painter's Playground"
"8092","Soccer - Non Regulation","02/20/2022 06:00:00 AM","02/20/2022 11:00:00 PM","Sport - Adult","Queens","Juniper Valley Park: Football-01 ,Juniper Valley Park: Track-01"
"8093","Soccer - Non Regulation","02/22/2022 09:00:00 AM","02/22/2022 07:00:00 PM","Sport - Youth","Queens","Joseph Austin Playground: Soccer-01"
"8094","Soccer - Non Regulation","02/19/2022 12:00:00 PM","02/19/2022 03:00:00 PM","Sport - Adult","Manhattan","Sara D. Roosevelt Park: Nike Field-Soccer-02"
"8095","Soccer - Non Regulation","02/19/2022 07:00:00 AM","02/19/2022 12:00:00 PM","Sport - Adult","Queens","Flushing Meadows Corona Park: Soccer-07"
"8096","Soccer -Regulation","02/22/2022 06:00:00 PM","02/22/2022 08:00:00 PM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01"
"8097","Mobile COVID-19 Test Site","02/20/2022 08:00:00 AM","02/20/2022 07:00:00 PM","Special Event","Staten Island","Lieutenant John H. Martinson Playground: Lieutenant John H. Martinson Playground"
"8098","Soccer -Regulation","02/19/2022 10:00:00 AM","02/19/2022 04:00:00 PM","Sport - Youth","Manhattan","East River Park: Soccer-01 East 6th Street"
"8099","Outdoor learning-12X458-DOE","02/23/2022 10:00:00 AM","02/23/2022 02:00:00 PM","Special Event","Bronx","Rock Garden Park: Rock Garden Park"
"8100","Miscellaneous","02/21/2022 10:00:00 AM","02/21/2022 06:00:00 PM","Sport - Youth","Bronx","Williamsbridge Oval: Soccer-01"
"8101","Lawn Closure of Veterans lawn","02/17/2022 12:00:00 AM","02/17/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Veterans Lawn"
"8102","Soccer - Non Regulation","02/17/2022 08:00:00 AM","02/17/2022 08:00:00 PM","Sport - Youth","Manhattan","Frederick Douglass Playground: Soccer-01"
